Liqueur,Category,Score
Sambuca,Appearance,5
Sambuca,Aroma,5
Sambuca,Initial Taste,5
Sambuca,Flavor,5
Sambuca,After Taste,4
Anisette,Appearance,5
Anisette,Aroma,5
Anisette,Initial Taste,4
Anisette,Flavor,5
Anisette,After Taste,5
Ouzo,Appearance,4
Ouzo,Aroma,5
Ouzo,Initial Taste,4
Ouzo,Flavor,4
Ouzo,After Taste,4
Aqua Vit,Appearance,5
Aqua Vit,Aroma,5
Aqua Vit,Initial Taste,4
Aqua Vit,Flavor,5
Aqua Vit,After Taste,4
Slivovitz,Appearance,5
Slivovitz,Aroma,3
Slivovitz,Initial Taste,3
Slivovitz,Flavor,2
Slivovitz,After Taste,2
Aguardient,Appearance,4
Aguardient,Aroma,2
Aguardient,Initial Taste,3
Aguardient,Flavor,2
Aguardient,After Taste,3
Sambuca,Appearance,5
Sambuca,Aroma,5
Sambuca,Initial Taste,5
Sambuca,Flavor,5
Sambuca,After Taste,5
Anisette,Appearance,5
Anisette,Aroma,4
Anisette,Initial Taste,5
Anisette,Flavor,5
Anisette,After Taste,5
Ouzo,Appearance,
Ouzo,Aroma,
Ouzo,Initial Taste,
Ouzo,Flavor,
Ouzo,After Taste,
Aqua Vit,Appearance,5
Aqua Vit,Aroma,1
Aqua Vit,Initial Taste,1
Aqua Vit,Flavor,1
Aqua Vit,After Taste,1
Slivovitz,Appearance,5
Slivovitz,Aroma,2
Slivovitz,Initial Taste,1
Slivovitz,Flavor,1
Slivovitz,After Taste,1
Aguardient,Appearance,4
Aguardient,Aroma,4
Aguardient,Initial Taste,3
Aguardient,Flavor,3
Aguardient,After Taste,3
Sambuca,Appearance,5
Sambuca,Aroma,5
Sambuca,Initial Taste,5
Sambuca,Flavor,5
Sambuca,After Taste,5
Anisette,Appearance,5
Anisette,Aroma,5
Anisette,Initial Taste,5
Anisette,Flavor,5
Anisette,After Taste,5
Ouzo,Appearance,5
Ouzo,Aroma,1
Ouzo,Initial Taste,1
Ouzo,Flavor,1
Ouzo,After Taste,1
Aqua Vit,Appearance,5
Aqua Vit,Aroma,1
Aqua Vit,Initial Taste,1
Aqua Vit,Flavor,1
Aqua Vit,After Taste,1
Slivovitz,Appearance,5
Slivovitz,Aroma,2
Slivovitz,Initial Taste,1
Slivovitz,Flavor,1
Slivovitz,After Taste,1
Aguardient,Appearance,5
Aguardient,Aroma,1
Aguardient,Initial Taste,1
Aguardient,Flavor,1
Aguardient,After Taste,1
Sambuca,Appearance,4
Sambuca,Aroma,4
Sambuca,Initial Taste,5
Sambuca,Flavor,5
Sambuca,After Taste,5
Anisette,Appearance,4
Anisette,Aroma,4
Anisette,Initial Taste,4
Anisette,Flavor,4
Anisette,After Taste,3
Ouzo,Appearance,4
Ouzo,Aroma,3
Ouzo,Initial Taste,2
Ouzo,Flavor,2
Ouzo,After Taste,1
Aqua Vit,Appearance,4
Aqua Vit,Aroma,1
Aqua Vit,Initial Taste,1
Aqua Vit,Flavor,1
Aqua Vit,After Taste,1
Slivovitz,Appearance,3
Slivovitz,Aroma,1
Slivovitz,Initial Taste,1
Slivovitz,Flavor,1
Slivovitz,After Taste,1
Aguardient,Appearance,4
Aguardient,Aroma,3
Aguardient,Initial Taste,2
Aguardient,Flavor,2
Aguardient,After Taste,2
Sambuca,Appearance,3
Sambuca,Aroma,5
Sambuca,Initial Taste,5
Sambuca,Flavor,5
Sambuca,After Taste,5
Anisette,Appearance,3
Anisette,Aroma,4
Anisette,Initial Taste,5
Anisette,Flavor,5
Anisette,After Taste,5
Ouzo,Appearance,3
Ouzo,Aroma,3
Ouzo,Initial Taste,3
Ouzo,Flavor,3
Ouzo,After Taste,3
Aqua Vit,Appearance,4
Aqua Vit,Aroma,3
Aqua Vit,Initial Taste,2
Aqua Vit,Flavor,2
Aqua Vit,After Taste,2
Slivovitz,Appearance,3
Slivovitz,Aroma,5
Slivovitz,Initial Taste,2
Slivovitz,Flavor,2
Slivovitz,After Taste,2
Aguardient,Appearance,3
Aguardient,Aroma,3
Aguardient,Initial Taste,3
Aguardient,Flavor,3
Aguardient,After Taste,3
Sambuca,Appearance,4
Sambuca,Aroma,4
Sambuca,Initial Taste,4
Sambuca,Flavor,4
Sambuca,After Taste,3
Anisette,Appearance,3
Anisette,Aroma,4
Anisette,Initial Taste,4
Anisette,Flavor,4
Anisette,After Taste,4
Ouzo,Appearance,4
Ouzo,Aroma,4
Ouzo,Initial Taste,4
Ouzo,Flavor,4
Ouzo,After Taste,3
Aqua Vit,Appearance,3
Aqua Vit,Aroma,3
Aqua Vit,Initial Taste,3
Aqua Vit,Flavor,3
Aqua Vit,After Taste,3
Slivovitz,Appearance,2
Slivovitz,Aroma,2
Slivovitz,Initial Taste,1
Slivovitz,Flavor,1
Slivovitz,After Taste,1
Aguardient,Appearance,3
Aguardient,Aroma,3
Aguardient,Initial Taste,3
Aguardient,Flavor,3
Aguardient,After Taste,3
Sambuca,Appearance,3
Sambuca,Aroma,4
Sambuca,Initial Taste,4
Sambuca,Flavor,4
Sambuca,After Taste,3
Anisette,Appearance,3
Anisette,Aroma,3
Anisette,Initial Taste,3
Anisette,Flavor,3
Anisette,After Taste,2
Ouzo,Appearance,3
Ouzo,Aroma,5
Ouzo,Initial Taste,5
Ouzo,Flavor,4
Ouzo,After Taste,4
Aqua Vit,Appearance,3
Aqua Vit,Aroma,3
Aqua Vit,Initial Taste,3
Aqua Vit,Flavor,3
Aqua Vit,After Taste,3
Slivovitz,Appearance,1
Slivovitz,Aroma,3
Slivovitz,Initial Taste,2
Slivovitz,Flavor,2
Slivovitz,After Taste,1
Aguardient,Appearance,3
Aguardient,Aroma,4
Aguardient,Initial Taste,4
Aguardient,Flavor,4
Aguardient,After Taste,5
Sambuca,Appearance,
Sambuca,Aroma,
Sambuca,Initial Taste,
Sambuca,Flavor,
Sambuca,After Taste,
Anisette,Appearance,5
Anisette,Aroma,5
Anisette,Initial Taste,5
Anisette,Flavor,5
Anisette,After Taste,
Ouzo,Appearance,
Ouzo,Aroma,
Ouzo,Initial Taste,
Ouzo,Flavor,
Ouzo,After Taste,
Aqua Vit,Appearance,
Aqua Vit,Aroma,
Aqua Vit,Initial Taste,
Aqua Vit,Flavor,
Aqua Vit,After Taste,
Slivovitz,Appearance,
Slivovitz,Aroma,
Slivovitz,Initial Taste,
Slivovitz,Flavor,
Slivovitz,After Taste,
Aguardient,Appearance,
Aguardient,Aroma,
Aguardient,Initial Taste,
Aguardient,Flavor,
Aguardient,After Taste,
Sambuca,Appearance,5
Sambuca,Aroma,5
Sambuca,Initial Taste,5
Sambuca,Flavor,5
Sambuca,After Taste,5
Anisette,Appearance,5
Anisette,Aroma,5
Anisette,Initial Taste,5
Anisette,Flavor,5
Anisette,After Taste,5
Ouzo,Appearance,5
Ouzo,Aroma,5
Ouzo,Initial Taste,4
Ouzo,Flavor,5
Ouzo,After Taste,5
Aqua Vit,Appearance,1
Aqua Vit,Aroma,4
Aqua Vit,Initial Taste,2
Aqua Vit,Flavor,4
Aqua Vit,After Taste,3
Slivovitz,Appearance,5
Slivovitz,Aroma,4
Slivovitz,Initial Taste,2
Slivovitz,Flavor,2
Slivovitz,After Taste,3
Aguardient,Appearance,5
Aguardient,Aroma,3
Aguardient,Initial Taste,4
Aguardient,Flavor,2
Aguardient,After Taste,3